Title,Year,Rated,Runtime,Genre,RottenTomatoes,Metascore,IMDB,BoxOffice
42,2013,PG-13,128,"Biography, Drama, Sport",81,62,7.5,95059709
300,2006,R,117,"Action, Drama",61,52,7.6,210629101
1917,2019,R,119,"Action, Drama, War",89,78,8.2,159227644
22-Jul,2018,R,143,"Crime, Drama, History",80,69,6.8,0
10 Things I Hate About You,1999,PG-13,97,"Comedy, Drama, Romance",71,70,7.3,38178166
12 Angry Men,1957,Approved,96,"Crime, Drama",100,97,9.0,0
12 Angry Men,1997,PG-13,117,"Crime, Drama",93,0,7.8,0
12 Monkeys,1995,R,129,"Mystery, Sci-Fi, Thriller",88,74,8.0,57141459
12 Years a Slave,2013,R,134,"Biography, Drama, History",95,96,8.1,56671993
127 Hours,2010,R,94,"Biography, Drama",93,82,7.5,18335230
13 Hours,2016,R,144,"Action, Drama, History",51,48,7.3,52853219
2 Hearts,2020,PG-13,101,"Drama, Romance",17,29,6.3,1349286
"20,000 Leagues Under the Sea",1954,G,127,"Adventure, Drama, Family",90,83,7.2,0
2001: A Space Odyssey,1968,G,149,"Adventure, Sci-Fi",92,84,8.3,60481243
20th Century Women,2016,R,119,"Comedy, Drama",88,83,7.3,5664764
21 Grams,2003,R,124,"Crime, Drama, Thriller",81,70,7.6,16290476
25th Hour,2002,R,135,Drama,79,69,7.6,13084595
28 Days Later,2002,R,113,"Drama, Horror, Sci-Fi",87,73,7.5,45064915
3:10 to Yuma,2007,R,122,"Action, Crime, Drama",89,76,7.7,53606916
3:10 to Yuma,1957,Not Rated,92,"Drama, Thriller, Western",94,80,7.6,4033000
5 to 7,2014,R,95,"Comedy, Drama, Romance",70,52,7.1,162685
50/50,2011,R,100,"Comedy, Drama, Romance",93,72,7.6,35014192
500 Days of Summer,2009,PG-13,95,"Comedy, Drama, Romance",85,76,7.7,32391374
8 Mile,2002,R,110,"Drama, Music",75,77,7.2,116750901
A Beautiful Mind,2001,PG-13,135,"Biography, Drama, Mystery",74,72,8.2,170742341
A Boy Called Christmas,2021,PG,106,"Adventure, Drama, Family",84,61,6.7,0
A Bridge Too Far,1977,PG,175,"Drama, History, War",59,63,7.4,50750000
A Bronx Tale,1993,R,121,"Crime, Drama",97,80,7.8,17287898
